Date,Total_Revenue,Total_Freight,Order_Count,Avg_Delivery_Days,Is_Weekend,Macro Category
09/03/2018 00:00,8094.1,1156.58,51,19.90196078,Weekday,Tech & Gadgets
08/03/2018 00:00,4571.8,1042.1,50,17.3877551,Weekday,Tech & Gadgets
07/03/2018 00:00,9640.45,1334.83,68,20.89393939,Weekday,Tech & Gadgets
06/03/2018 00:00,10498.35,1415.06,70,16.44285714,Weekday,Tech & Gadgets
05/03/2018 00:00,10170.45,1651.99,64,20.09836066,Weekday,Tech & Gadgets
02/03/2018 00:00,8015.53,1230.46,65,20.921875,Weekday,Tech & Gadgets
01/03/2018 00:00,8219.97,1457.63,71,20,Weekday,Tech & Gadgets
28/02/2018 00:00,11138.31,1500.81,79,18.58666667,Weekday,Tech & Gadgets
27/02/2018 00:00,9657.11,1659.89,86,21.01176471,Weekday,Tech & Gadgets
26/02/2018 00:00,9136,1524.93,75,21.28767123,Weekday,Tech & Gadgets
23/02/2018 00:00,6955.63,1030.68,56,19.54545455,Weekday,Tech & Gadgets
22/02/2018 00:00,12216.85,1946.22,87,19.74117647,Weekday,Tech & Gadgets
21/02/2018 00:00,10704,1554.76,78,17.42105263,Weekday,Tech & Gadgets
20/02/2018 00:00,7742.41,1510.62,84,17.14457831,Weekday,Tech & Gadgets
19/02/2018 00:00,8618.31,1886.5,88,16.98850575,Weekday,Tech & Gadgets
16/02/2018 00:00,6116.9,1328.58,65,17.34375,Weekday,Tech & Gadgets
15/02/2018 00:00,4854.96,972.99,60,15.15254237,Weekday,Tech & Gadgets
14/02/2018 00:00,6959.2,1139.55,54,16.90740741,Weekday,Tech & Gadgets
13/02/2018 00:00,3266.83,731.89,46,16.04444444,Weekday,Tech & Gadgets
12/02/2018 00:00,5981.46,958.57,57,19.80357143,Weekday,Tech & Gadgets
09/02/2018 00:00,7726.24,1069.95,62,16.96774194,Weekday,Tech & Gadgets
08/02/2018 00:00,9158.82,1306.48,70,16.98529412,Weekday,Tech & Gadgets
07/02/2018 00:00,6364.95,1319.32,65,16.06153846,Weekday,Tech & Gadgets
06/02/2018 00:00,8497.32,1243.61,67,14.78787879,Weekday,Tech & Gadgets
05/02/2018 00:00,7230.91,1235.42,69,18.58823529,Weekday,Tech & Gadgets
02/02/2018 00:00,6964.39,1380.43,64,20.47619048,Weekday,Tech & Gadgets
01/02/2018 00:00,9470.18,1277.91,69,17.19117647,Weekday,Tech & Gadgets
31/01/2018 00:00,10230.97,1654.67,89,15.04597701,Weekday,Tech & Gadgets
30/01/2018 00:00,8585.3,1452.31,80,14.33766234,Weekday,Tech & Gadgets
29/01/2018 00:00,5243.98,1221.44,59,15.55932203,Weekday,Tech & Gadgets
26/01/2018 00:00,5022,1019.02,57,13.69090909,Weekday,Tech & Gadgets
25/01/2018 00:00,7088.82,1114.28,63,16.24590164,Weekday,Tech & Gadgets
24/01/2018 00:00,10051.3,1079.65,65,15.42857143,Weekday,Tech & Gadgets
23/01/2018 00:00,7581.9,998.59,57,16.96296296,Weekday,Tech & Gadgets
22/01/2018 00:00,9867.71,1538.45,87,12.95402299,Weekday,Tech & Gadgets
19/01/2018 00:00,6498.4,1115.66,56,14.03636364,Weekday,Tech & Gadgets
18/01/2018 00:00,6683.72,1140.93,60,14.15254237,Weekday,Tech & Gadgets
17/01/2018 00:00,5511.89,1035.15,59,12.28070175,Weekday,Tech & Gadgets
16/01/2018 00:00,8537.27,1211.1,61,14.19672131,Weekday,Tech & Gadgets
15/01/2018 00:00,9634.85,1398.27,72,13.3943662,Weekday,Tech & Gadgets
12/01/2018 00:00,8364.52,1346.12,63,13.06557377,Weekday,Tech & Gadgets
11/01/2018 00:00,8655.32,1440.67,61,13.81666667,Weekday,Tech & Gadgets
10/01/2018 00:00,9150.47,1382.9,57,15.78181818,Weekday,Tech & Gadgets
09/01/2018 00:00,6966.34,957.27,48,12.83333333,Weekday,Tech & Gadgets
08/01/2018 00:00,9332.43,1468.44,66,13.19047619,Weekday,Tech & Gadgets
05/01/2018 00:00,5712.51,770.88,41,14.05882353,Weekday,Tech & Gadgets
04/01/2018 00:00,6683.64,934.97,46,13.23255814,Weekday,Tech & Gadgets
03/01/2018 00:00,7919.22,1112.09,59,12.31034483,Weekday,Tech & Gadgets
02/01/2018 00:00,4518.58,830.93,44,12.25,Weekday,Tech & Gadgets
01/01/2018 00:00,1807.29,353.71,22,10.0952381,Weekday,Tech & Gadgets
29/12/2017 00:00,4785.88,483.66,33,12.3125,Weekday,Tech & Gadgets
28/12/2017 00:00,3215.1,532.57,31,12.32142857,Weekday,Tech & Gadgets
27/12/2017 00:00,2751.59,566.97,33,12.54545455,Weekday,Tech & Gadgets
26/12/2017 00:00,6184.37,1013.86,50,12.55102041,Weekday,Tech & Gadgets
25/12/2017 00:00,1641.36,323.96,22,13.09090909,Weekday,Tech & Gadgets
22/12/2017 00:00,4131.51,526.11,27,16.23076923,Weekday,Tech & Gadgets
21/12/2017 00:00,4904.37,597.34,31,16.29032258,Weekday,Tech & Gadgets
20/12/2017 00:00,5654.06,1063.94,41,17.68292683,Weekday,Tech & Gadgets
19/12/2017 00:00,4203.39,599.53,37,14.55555556,Weekday,Tech & Gadgets
18/12/2017 00:00,5767.7,957.76,51,13.31372549,Weekday,Tech & Gadgets
15/12/2017 00:00,8707.7,772.32,40,16.79487179,Weekday,Tech & Gadgets
14/12/2017 00:00,3712.24,697.6,39,17.74358974,Weekday,Tech & Gadgets
13/12/2017 00:00,5992.26,691.82,37,15.83783784,Weekday,Tech & Gadgets
12/12/2017 00:00,7307.86,942.07,59,14.33333333,Weekday,Tech & Gadgets
11/12/2017 00:00,6725.86,967.76,53,16.63461538,Weekday,Tech & Gadgets
08/12/2017 00:00,4202.69,596.37,34,17,Weekday,Tech & Gadgets
